FlightID,Code,seatsAvail,authLevel,resHoldTotal,reportDt,orig,dest,DptDt,Carrier,fltNr,opsSuffix,fltNrDptDt,fltNrArrDt,DptTime,ArrTime
25,Y,52,129,0,2016-05-28,SYZR1,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,07:40:00,09:18:00
74,B,11,275,9,2016-05-28,MOWKZ,RZN1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,20:50:00
74,Y,65,275,6,2016-05-28,MOWKZ,RZN1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,20:50:00
74,B,0,275,6,2016-05-28,MOWKZ,SASOV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,23:25:00
74,Y,52,275,7,2016-05-28,MOWKZ,SASOV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,23:25:00
74,B,0,275,6,2016-05-28,MOWKZ,ZUBVP,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,00:24:00
74,Y,52,275,3,2016-05-28,MOWKZ,ZUBVP,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,00:24:00
74,B,0,275,10,2016-05-28,MOWKZ,KOVYL,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,01:29:00
74,Y,52,275,18,2016-05-28,MOWKZ,KOVYL,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,01:29:00
74,B,0,275,15,2016-05-28,MOWKZ,RUZVK,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,02:44:00
74,Y,52,275,14,2016-05-28,MOWKZ,RUZVK,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,02:44:00
74,B,0,275,0,2016-05-28,MOWKZ,INZA,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,04:32:00
74,Y,52,275,0,2016-05-28,MOWKZ,INZA,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,04:32:00
74,B,0,275,3,2016-05-28,MOWKZ,BARYS,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,05:25:00
74,Y,52,275,2,2016-05-28,MOWKZ,BARYS,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,05:25:00
74,B,0,275,39,2016-05-28,MOWKZ,SYZR1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,07:08:00
74,Y,51,275,22,2016-05-28,MOWKZ,SYZR1,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,07:08:00
74,B,0,275,4,2016-05-28,MOWKZ,CHAPV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,08:24:00
74,Y,51,275,6,2016-05-28,MOWKZ,CHAPV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,08:24:00
74,B,0,275,172,2016-05-28,MOWKZ,KUF,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,09:09:00
74,Y,51,275,132,2016-05-28,MOWKZ,KUF,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,18:10:00,09:09:00
74,B,3,275,0,2016-05-28,RZN1,SASOV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,23:25:00
74,Y,55,275,3,2016-05-28,RZN1,SASOV,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,23:25:00
74,B,2,275,0,2016-05-28,RZN1,ZUBVP,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,00:24:00
74,Y,55,275,0,2016-05-28,RZN1,ZUBVP,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,00:24:00
74,B,1,275,0,2016-05-28,RZN1,KOVYL,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,01:29:00
74,Y,55,275,0,2016-05-28,RZN1,KOVYL,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,01:29:00
74,B,1,275,0,2016-05-28,RZN1,RUZVK,2016-05-26,FPC,50,M,2016-05-26,2016-05-27,21:02:00,02:44:00
